Id,sample_soln
0,170993.35792504725
1,265291.4535106755
2,178101.77555744478
3,110123.16043684888
4,186169.6806885198
5,116429.83342030927
6,124550.60616024514
7,163323.6988892558
8,208804.4861474956
9,173258.03278015947
10,178596.93006960058
11,110011.77330452474
12,174410.29845759983
13,313919.23670677305
14,152763.41414234965
15,98385.0431412775
16,170410.39137080667
17,133298.829515173
18,201752.68257828924
19,136449.0642306248
20,134480.9110047096
21,135497.61564261257
22,229640.09125342534
23,140797.85209721088
24,194844.90177804552
25,118600.55363228054
26,144577.99661681632
27,111651.37486328743
28,138298.24861079315
29,44332.70704013611
30,137690.74201172983
31,123662.87440010876
32,242389.79996132804
33,161694.53007924938
34,224694.94191008687
35,174943.39593614548
36,147082.62532605196
37,79320.7400036324
38,79633.93150932672
39,207792.31084445806
40,164449.80793275766
41,214747.46819101978
42,170462.5029183663
43,145223.7412153623
44,211674.00253589358
45,115980.63300648498
46,219655.88460068067
47,116978.91943635646
48,115077.71031786283
49,131514.93631687318
50,112303.3149891691
51,163067.63130751482
52,258521.797560932
53,128499.39207871538
54,90456.81009361325
55,141471.15293838285
56,159931.38928313425
57,160715.60653392266
58,166952.15500871747
59,242307.05075049878
60,303087.20406412403
61,131240.14179233395
62,143589.14906023708
63,181574.6578325449
64,186166.06991109875
65,299264.9267452101
66,95687.79021710722
67,207019.02748023975
68,51706.516221154205
69,139606.23566700303
70,81826.24048459112
71,305496.1874398792
72,208163.9376074741
73,153660.14414617573
74,138780.3329110707
75,223551.33878566828
76,136570.48172595957
77,144724.17434301763
78,68904.31726503366
79,273396.90507746657
80,216390.47739086222
81,112313.38688895592
82,120719.23557064512
83,124840.88562542899
84,195882.34328691868
85,342074.30322689813
86,128130.27567454313
87,175731.8618169357
88,231576.2964459212
89,164092.0265503501
90,123362.77249140691
91,105235.89723668242
92,118197.05329552776
93,177409.47401554472
94,113788.90820548838
95,143792.8616562846
96,183928.13105756562
97,236144.77492007895
98,208626.6048827453
99,200892.83097363918
100,236705.25840960856
101,193614.68646033655
102,125053.83508972953
103,357139.4512861661
104,153928.88454051293
105,73121.8062424697
106,172470.05178821806
107,231011.1168048432
108,251979.139608151
109,207803.51493800897
110,197098.0389489567
111,230589.4185598542
112,103740.52651941196
113,149633.45028962658
114,216850.9031748664
115,407386.4614017103
116,140543.5686089756
117,142709.75708804937
118,270460.7522277623
119,196497.33595295183
120,314171.5417563758
121,252443.37248243808
122,247789.83945988573
123,175068.73722416203
124,184818.23194751565
125,308570.1340910129
126,114670.45287956731
127,117689.51974078997
128,100106.0219437041
129,255804.8543570791
130,139574.22030192072
131,199870.77021818171
132,159272.93031185347
133,141929.54283027505
134,182859.25115124366
135,220685.60529097434
136,213427.44166156877
137,180748.73440045433
138,207019.02748023975
139,113939.01934703637
140,189700.1404722797
141,124239.74634017632
142,110538.63583218964
143,195341.7338823765
144,62328.87397304337
145,192673.81321099217
146,171953.13397399476
147,148513.67328898178
148,67275.57978442022
149,239356.52099635234
150,211216.36338561587
151,167841.51546937166
152,92490.52324757149
153,114356.12483644654
154,73980.39009543865
155,130767.3748351591
156,97696.66637091244
157,116092.82974304562
158,260844.16828501498
159,278726.7170736011
160,215640.22809681864
161,116458.8251613139
162,125198.49784053386
163,375887.9363042405
164,220052.4768367155
165,245842.38148348732
166,180163.46974509952
167,175946.39672089939
168,258326.18465583568
169,212399.55660559644
170,491423.265550348
171,154287.4145733238
172,214983.73501683923
173,158535.3941617394
174,201658.19730295552
175,183487.9104079613
176,59287.59091398737
177,263524.06659655506
178,115259.30410959967
179,154710.46974214498
180,132561.6583995202
181,202724.0604729443
182,238510.39861532353
183,182543.83253782272
184,170875.24719857157
185,109437.28128099348
186,180142.547925501
187,185670.85214005926
188,129459.74529458588
189,83675.33179039393
190,187202.90346344208
191,122717.69605437506
192,78168.52212530207
193,108666.17709024044
194,180566.5473640897
195,133947.37346257624
196,247868.8484418888
197,140800.45077861744
198,145427.22199652897
199,124056.35711228641
200,322315.4745442717
201,192768.8645860021
202,120227.68746988484
203,199138.97993595197
204,110182.3156289662
205,82838.07808255602
206,168995.98970734328
207,126508.70083190914
208,205530.48770726484
209,236318.93684176324
210,203758.6424541418
211,205332.0566841235
212,115868.02761156022
213,266951.51789894904
214,223622.57577319967
215,200697.1197598061
216,242288.80693108932
217,124777.86455939859
218,70061.97114741626
219,127822.90556170885
220,177430.88479115698
221,160935.81130037372
222,185126.68196130273
223,181946.5149581183
224,101223.72825265174
225,93977.45662861512
226,276899.0392822268
227,237210.75251208947
228,157344.9172658337
229,290330.17870425136
230,158716.81892616444
231,69219.15931642245
232,133542.32473207967
233,97444.16404570002
234,299055.55838588905
235,172470.8166816304
236,80368.50199810367
237,342020.4257030548
238,331317.7849499405
239,202289.3130108769
240,244290.70177071798
241,182204.4944405753
242,278469.20381374157
243,263229.9110698432
244,298942.253707262
245,262793.09611793543
246,120583.32664546277
247,117839.04513499224
248,214040.58618817874
249,273493.05387735064
250,234066.31541811032
251,149536.17569688265
252,233991.57344860595
253,243234.5229056466
254,204706.815812329
255,103598.74489268
256,67446.50776593029
257,339144.7871344374
258,220761.58558146172
259,205788.20335054607
